负向,中性,正向,情感强度_归一化
0,0,1,0.0666666666666666
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.2666666666666666
0,0,1,0.1333333333333333
1,0,0,0.0
1,0,0,0.2666666666666666
0,1,0,0.0
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
0,0,1,0.0666666666666666
0,1,0,0.0
0,0,1,0.1333333333333333
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0666666666666666
0,0,1,0.0
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.0
0,0,1,0.0666666666666666
0,1,0,0.0
1,0,0,0.0
1,0,0,0.0
0,0,1,0.1333333333333333
1,0,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.0
0,0,1,0.3333333333333333
1,0,0,0.0666666666666666
0,0,1,0.0666666666666666
1,0,0,0.0
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.3333333333333333
1,0,0,0.2
0,1,0,0.0
1,0,0,0.0666666666666666
0,1,0,0.0
0,1,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.2
0,1,0,0.0
1,0,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.4
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
0,1,0,0.0
0,0,1,0.3333333333333333
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.3333333333333333
0,0,1,0.2
1,0,0,0.4
1,0,0,0.0
0,0,1,0.1333333333333333
1,0,0,0.2
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,0,1,0.0
0,1,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.0
1,0,0,0.4
1,0,0,0.0
0,0,1,0.0
0,1,0,0.1333333333333333
0,0,1,0.0666666666666666
0,1,0,0.0
1,0,0,0.1333333333333333
0,0,1,0.0
0,1,0,0.0
0,1,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.0
0,0,1,0.0
1,0,0,0.0
1,0,0,0.2
1,0,0,0.0
0,0,1,0.0
0,0,1,0.1333333333333333
1,0,0,0.1333333333333333
0,0,1,0.0666666666666666
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.4
1,0,0,0.2
0,1,0,0.0
0,0,1,0.0666666666666666
0,0,1,0.2
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.0
0,0,1,0.0666666666666666
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.2
1,0,0,0.0
0,1,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,1,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.1333333333333333
0,1,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,1,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,0,1,0.0
1,0,0,0.2
1,0,0,0.1333333333333333
0,0,1,0.0666666666666666
1,0,0,0.2
0,0,1,0.1333333333333333
1,0,0,0.2
1,0,0,0.0
0,0,1,0.0
0,0,1,0.0
1,0,0,0.3333333333333333
1,0,0,0.0
1,0,0,0.0
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.2
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
1,0,0,0.2
1,0,0,0.0
0,1,0,0.0
0,0,1,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.2
0,0,1,0.2
0,1,0,0.0
1,0,0,0.2
1,0,0,0.4
1,0,0,0.2666666666666666
0,0,1,0.0
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.0
1,0,0,0.2
0,1,0,0.0666666666666666
1,0,0,0.2
0,0,1,0.0
1,0,0,0.1333333333333333
1,0,0,0.2
1,0,0,0.0
0,1,0,0.1333333333333333
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0
0,0,1,0.2
1,0,0,0.0
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0
0,1,0,0.0
1,0,0,0.2
1,0,0,0.1333333333333333
0,1,0,0.1333333333333333
1,0,0,0.2
0,0,1,0.0
1,0,0,0.1333333333333333
0,0,1,0.0
1,0,0,0.0666666666666666
0,0,1,0.0666666666666666
0,1,0,0.0
0,1,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
0,0,1,0.2
1,0,0,0.0
1,0,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.2
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.6
1,0,0,0.0
1,0,0,0.2
1,0,0,0.3333333333333333
0,1,0,0.0
0,1,0,0.0666666666666666
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.4
0,1,0,0.0
0,0,1,0.2666666666666666
1,0,0,0.8
0,0,1,0.2
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.2666666666666666
0,1,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.2666666666666666
0,1,0,0.0
1,0,0,0.0666666666666666
0,0,1,0.0
0,0,1,0.3333333333333333
0,0,1,0.4666666666666667
1,0,0,0.1333333333333333
1,0,0,0.8666666666666667
1,0,0,0.0
0,0,1,0.1333333333333333
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.0
0,0,1,0.0
1,0,0,0.0
0,0,1,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.2666666666666666
1,0,0,0.0
1,0,0,0.2
1,0,0,0.1333333333333333
0,1,0,0.1333333333333333
0,1,0,0.1333333333333333
0,0,1,0.0
0,1,0,0.0
1,0,0,0.4
1,0,0,0.1333333333333333
0,1,0,0.0666666666666666
0,0,1,0.1333333333333333
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.3333333333333333
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.2
0,0,1,0.2666666666666666
0,0,1,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.4666666666666667
1,0,0,0.2666666666666666
0,0,1,0.0
0,1,0,0.0
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.3333333333333333
0,0,1,0.2666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.2
0,0,1,0.0666666666666666
1,0,0,0.2
1,0,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.2
0,0,1,0.0
0,0,1,0.0666666666666666
0,1,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.3333333333333333
1,0,0,0.0
1,0,0,0.0
1,0,0,0.2
1,0,0,0.0666666666666666
0,0,1,0.2
0,1,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
0,0,1,0.0666666666666666
0,0,1,0.0666666666666666
1,0,0,0.0666666666666666
0,1,0,0.0
0,0,1,0.0
1,0,0,0.5333333333333333
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.0
1,0,0,0.2
1,0,0,0.0
1,0,0,0.2
1,0,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.0
0,0,1,0.3333333333333333
1,0,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.2
0,1,0,0.0
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
1,0,0,0.2666666666666666
1,0,0,0.5333333333333333
1,0,0,0.0666666666666666
0,0,1,0.0666666666666666
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.2666666666666666
1,0,0,0.4666666666666667
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.2666666666666666
1,0,0,0.0
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
0,1,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.0666666666666666
0,0,1,0.2
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.2666666666666666
0,1,0,0.0666666666666666
1,0,0,0.0
0,1,0,0.0666666666666666
0,0,1,0.0666666666666666
0,1,0,0.0
1,0,0,0.3333333333333333
1,0,0,0.0666666666666666
0,1,0,0.0
0,1,0,0.0
1,0,0,0.2
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
0,0,1,0.0666666666666666
0,1,0,0.1333333333333333
1,0,0,0.3333333333333333
1,0,0,0.0
1,0,0,0.0
0,1,0,0.0
1,0,0,0.0
0,0,1,0.0
1,0,0,0.2666666666666666
1,0,0,0.2666666666666666
0,1,0,0.1333333333333333
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.2666666666666666
0,1,0,0.0
0,1,0,0.0
1,0,0,0.1333333333333333
0,0,1,0.0
0,0,1,0.0666666666666666
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.0
0,0,1,0.0666666666666666
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.3333333333333333
1,0,0,0.4666666666666667
0,0,1,0.0666666666666666
0,0,1,0.1333333333333333
1,0,0,0.0
0,1,0,0.0
1,0,0,0.0
1,0,0,0.4666666666666667
0,1,0,0.0666666666666666
0,1,0,0.0
0,1,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.2
0,0,1,0.0
1,0,0,0.2
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.3333333333333333
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,0,1,0.1333333333333333
1,0,0,0.2
0,0,1,0.1333333333333333
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.4
1,0,0,0.2
0,1,0,0.0
0,0,1,0.0
0,0,1,0.0
1,0,0,0.1333333333333333
1,0,0,0.2666666666666666
0,0,1,0.3333333333333333
0,0,1,0.0
1,0,0,0.2
1,0,0,0.3333333333333333
1,0,0,0.0666666666666666
0,0,1,0.0666666666666666
1,0,0,0.1333333333333333
0,1,0,0.0666666666666666
0,0,1,0.2
0,1,0,0.0
1,0,0,0.3333333333333333
1,0,0,0.1333333333333333
1,0,0,0.2666666666666666
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.1333333333333333
0,1,0,0.0
0,1,0,0.0
1,0,0,0.4
0,1,0,0.0
0,1,0,0.0
1,0,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.0
1,0,0,0.2666666666666666
1,0,0,0.2666666666666666
0,0,1,0.0
0,0,1,0.0666666666666666
0,1,0,0.0
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
0,0,1,0.0
1,0,0,0.0666666666666666
0,0,1,0.1333333333333333
1,0,0,0.2666666666666666
0,0,1,0.0
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.2
1,0,0,0.2
1,0,0,0.2666666666666666
0,0,1,0.0666666666666666
0,0,1,0.0666666666666666
1,0,0,0.1333333333333333
0,1,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.4
1,0,0,0.1333333333333333
0,0,1,0.2
0,0,1,0.2
1,0,0,0.0666666666666666
1,0,0,0.0
0,0,1,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.0666666666666666
0,1,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.2
1,0,0,0.3333333333333333
1,0,0,0.2666666666666666
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,1,0,0.0666666666666666
0,1,0,0.0
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
0,0,1,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.2
1,0,0,0.4
1,0,0,0.0
1,0,0,0.0
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.2
0,0,1,0.0
1,0,0,0.1333333333333333
1,0,0,0.2
0,0,1,0.2666666666666666
1,0,0,0.2
1,0,0,0.4
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.1333333333333333
1,0,0,0.2666666666666666
1,0,0,0.2
0,1,0,0.2666666666666666
1,0,0,0.0
0,0,1,0.2666666666666666
0,0,1,0.0
1,0,0,0.3333333333333333
1,0,0,0.0666666666666666
0,1,0,0.0
0,0,1,0.0
1,0,0,0.0666666666666666
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.3333333333333333
1,0,0,0.0666666666666666
0,0,1,0.0
1,0,0,0.0666666666666666
0,0,1,0.1333333333333333
1,0,0,0.2
1,0,0,0.3333333333333333
1,0,0,0.0666666666666666
0,0,1,0.0666666666666666
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.0666666666666666
0,0,1,0.0
0,0,1,0.0
1,0,0,0.2
0,0,1,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.2666666666666666
1,0,0,0.2
1,0,0,0.3333333333333333
1,0,0,0.2
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.2
0,1,0,0.0
1,0,0,0.2
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.0
1,0,0,0.0666666666666666
0,1,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.2
1,0,0,0.0
1,0,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.0
0,0,1,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.2
1,0,0,0.2666666666666666
0,0,1,0.0
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
0,0,1,0.2
1,0,0,0.1333333333333333
0,1,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0
0,1,0,0.1333333333333333
0,0,1,0.3333333333333333
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,0,1,0.0
0,1,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.3333333333333333
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
0,1,0,0.1333333333333333
1,0,0,0.0666666666666666
0,0,1,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.0
0,1,0,0.0
0,1,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.4
1,0,0,0.1333333333333333
0,0,1,0.0
1,0,0,0.1333333333333333
0,0,1,0.2
1,0,0,0.0
0,0,1,0.1333333333333333
1,0,0,0.2
0,0,1,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
0,0,1,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.3333333333333333
0,0,1,0.0
0,1,0,0.0
1,0,0,0.0
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.3333333333333333
0,1,0,0.0666666666666666
0,1,0,0.0
0,0,1,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
0,0,1,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
0,0,1,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,0,1,0.0
1,0,0,0.1333333333333333
1,0,0,0.0
0,0,1,0.1333333333333333
1,0,0,0.0666666666666666
0,1,0,0.0666666666666666
1,0,0,0.2666666666666666
1,0,0,0.2
1,0,0,0.0
1,0,0,0.0666666666666666
1,0,0,0.2666666666666666
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.4
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.2
1,0,0,0.1333333333333333
0,0,1,0.4666666666666667
1,0,0,0.3333333333333333
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
0,0,1,0.1333333333333333
0,1,0,0.0666666666666666
0,0,1,0.0666666666666666
0,0,1,0.0
0,0,1,0.0
1,0,0,0.1333333333333333
0,1,0,0.2
0,1,0,0.0
1,0,0,0.1333333333333333
0,1,0,0.0
1,0,0,0.0
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.0
0,1,0,0.0
0,0,1,0.2666666666666666
1,0,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0
0,0,1,0.0666666666666666
1,0,0,0.2
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
0,0,1,0.4
1,0,0,0.3333333333333333
1,0,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
0,0,1,0.1333333333333333
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
0,1,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.0666666666666666
0,1,0,0.0666666666666666
1,0,0,0.2666666666666666
1,0,0,0.3333333333333333
1,0,0,0.2666666666666666
1,0,0,0.0666666666666666
0,0,1,0.2
1,0,0,0.0666666666666666
0,0,1,0.0666666666666666
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.1333333333333333
1,0,0,0.0
0,1,0,0.0
1,0,0,0.1333333333333333
0,1,0,0.0
0,1,0,0.0
1,0,0,0.2
1,0,0,0.2
1,0,0,0.1333333333333333
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0666666666666666
0,1,0,0.0
1,0,0,0.0
1,0,0,0.1333333333333333
0,0,1,0.1333333333333333
0,1,0,0.1333333333333333
0,0,1,0.1333333333333333
1,0,0,0.1333333333333333
1,0,0,0.2
1,0,0,0.0666666666666666
0,1,0,0.0
0,1,0,0.0
1,0,0,0.1333333333333333
0,0,1,0.0
1,0,0,0.0666666666666666
1,0,0,0.0
1,0,0,0.3333333333333333
1,0,0,0.0
0,0,1,0.0
1,0,0,0.2
1,0,0,0.2
0,1,0,0.0
1,0,0,0.0
